Distance,ObjTemp,AmbTemp
1,80.08,79.68
2,79.57,79.68
2,79.57,79.68
2,79.65,79.68
2,79.65,79.68
2,79.65,79.68
2,79.65,79.68
2,79.65,79.68
2,79.65,79.75
2,79.65,79.75
2,79.65,79.75
2,79.65,79.75
2,79.65,79.75
2,79.65,79.75
2,79.65,79.75
2,79.65,79.68
2,79.65,79.68
2,79.65,79.68
2,79.57,79.68
2,79.57,79.68
2,79.57,79.68
2,79.57,79.68
2,79.57,79.68
2,79.57,79.68
2,79.54,79.68
2,79.54,79.68
2,79.54,79.68
2,79.54,79.83
2,79.54,79.83
2,79.54,79.83
2,79.54,79.83
2,79.68,79.83
2,79.68,79.83
2,79.68,79.68
2,79.68,79.68
2,79.68,79.68
2,79.68,79.68
2,79.57,79.68
2,79.57,79.68
2,79.57,79.68
2,79.57,79.68
2,79.57,79.68
2,79.57,79.68
2,79.47,79.68
2,79.47,79.68
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.61
2,79.47,79.65
2,79.47,79.65
2,79.47,79.65
2,79.47,79.65
2,79.47,79.65
2,79.47,79.65
2,79.47,79.79
2,79.47,79.79
2,79.47,79.79
2,79.47,79.79
2,79.43,79.79
2,79.43,79.79
2,79.43,79.75
2,79.43,79.75
2,79.43,79.75
2,79.43,79.75
2,79.43,79.75
2,79.43,79.75
2,79.43,79.75
2,79.43,79.75
2,79.43,79.75
2,79.43,79.75
2,79.57,79.75
2,79.57,79.75
2,79.57,79.65
2,79.57,79.65
2,79.57,79.65
2,79.57,79.65
2,79.32,79.65
2,79.32,79.65
2,79.32,79.65
2,79.32,79.68
2,79.32,79.68
2,79.32,79.68
2,79.32,79.68
2,79.32,79.68
