Distance,ObjTemp,AmbTemp
5,77.77,79.57
5,77.77,79.57
5,77.77,79.57
5,77.77,79.57
5,77.77,79.54
5,77.77,79.54
5,77.77,79.54
5,77.77,79.54
5,77.67,79.54
5,77.67,79.54
6,77.63,79.68
6,77.63,79.68
6,77.63,79.68
6,77.63,79.68
6,77.63,79.68
6,77.63,79.68
6,77.63,79.68
6,77.67,79.68
6,77.67,79.68
6,77.67,79.68
6,77.67,79.65
6,77.67,79.65
6,77.67,79.65
6,77.67,79.65
6,77.74,79.65
6,77.74,79.65
6,77.74,79.50
6,77.74,79.50
6,77.74,79.50
6,77.74,79.50
6,77.52,79.50
6,77.52,79.50
6,77.52,79.47
6,77.52,79.47
6,77.52,79.47
6,77.52,79.47
6,77.52,79.47
6,77.52,79.47
6,77.52,79.75
6,77.52,79.75
6,77.52,79.75
6,77.52,79.75
6,77.74,79.75
6,77.74,79.75
6,77.74,79.65
6,77.74,79.65
6,77.74,79.65
6,77.74,79.65
6,77.74,79.65
6,77.74,79.65
6,77.74,79.65
6,77.74,79.57
6,77.74,79.57
6,77.74,79.57
6,77.63,79.57
6,77.63,79.57
6,77.63,79.57
6,77.63,79.57
6,77.63,79.57
6,77.63,79.57
6,77.63,79.57
6,77.56,79.57
6,77.56,79.57
6,77.56,79.57
6,77.56,79.57
6,77.56,79.57
6,77.56,79.57
6,77.52,79.57
6,77.52,79.57
6,77.52,79.57
6,77.52,79.57
6,77.52,79.57
6,77.52,79.57
6,77.63,79.57
6,77.63,79.57
6,77.63,79.57
6,77.63,79.57
6,77.63,79.57
6,77.63,79.57
6,77.67,79.57
6,77.67,79.57
6,77.67,79.57
6,77.67,79.57
6,77.67,79.57
6,77.67,79.57
6,77.52,79.57
6,77.52,79.57
6,77.52,79.57
6,77.52,79.57
6,77.52,79.57
6,77.52,79.57
6,77.74,79.57
6,77.74,79.57
6,77.74,79.57
6,77.74,79.68
6,77.74,79.68
6,77.74,79.68
6,77.74,79.68
6,77.85,79.68
6,77.85,79.68
6,77.85,79.61
6,77.85,79.61
6,77.85,79.61
6,77.85,79.61
6,77.67,79.61
6,77.67,79.61
6,77.67,79.54
6,77.67,79.54
6,77.67,79.54
6,77.67,79.54
