Angle,Distance,ObjTemp,AmbTemp
90,3,76.59,77.05
90,3,76.59,77.05
90,3,76.59,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.37,77.05
90,3,76.37,77.05
90,3,76.37,77.02
90,3,76.37,77.02
90,3,76.37,77.02
90,3,76.23,77.02
90,3,76.23,77.02
90,3,76.23,76.95
90,3,76.23,76.95
90,3,76.23,76.95
90,3,76.15,76.95
90,3,76.15,76.95
90,3,76.15,77.02
90,3,76.15,77.02
90,3,76.15,77.02
90,3,76.23,77.02
90,3,76.23,77.02
90,3,76.23,76.95
90,3,76.23,76.95
90,3,76.23,76.95
90,3,76.23,76.95
90,3,76.26,76.95
90,3,76.26,76.95
90,3,76.26,76.95
90,3,76.26,76.95
90,3,76.26,76.95
90,3,76.15,76.95
90,3,76.15,76.95
90,3,76.15,77.05
90,3,76.15,77.05
90,3,76.15,77.05
90,3,76.26,77.05
90,3,76.26,77.05
90,3,76.26,77.05
90,3,76.26,77.05
90,3,76.26,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.02
90,3,76.23,77.02
90,3,76.23,77.02
90,3,76.12,77.02
90,3,76.12,77.02
90,3,76.12,77.02
90,3,76.12,77.02
90,3,76.12,77.02
90,3,76.12,77.02
90,3,76.23,77.02
90,3,76.23,77.02
90,3,76.23,76.91
90,3,76.23,76.91
90,3,76.23,76.91
90,3,76.23,76.91
90,3,76.23,76.91
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.23,77.05
90,3,76.26,77.05
90,3,76.26,77.05
90,3,76.26,77.02
90,3,76.26,77.02
90,3,76.26,77.02
90,3,76.05,77.02
90,3,76.05,77.02
90,3,76.05,76.91
90,3,76.05,76.91
90,3,76.05,76.91
90,3,76.01,76.91
90,4,75.51,77.05
90,4,75.47,77.05
90,4,75.47,77.05
90,4,75.47,77.05
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.51,76.98
90,4,75.51,76.98
90,4,75.51,76.98
90,4,75.51,76.98
90,4,75.51,76.98
90,4,75.47,76.98
90,4,75.47,76.98
90,4,75.47,76.95
90,4,75.47,76.95
90,4,75.47,76.95
90,4,75.51,76.95
